cluster,raised,goal,donors,length,shares
2,6031,25000,112,4,1.9k
18,6006,10000,50,3,274
11,6000,6000,66,7,307
8,6000,10000,78,4,671
1,6000,6000,70,2,204
6,6000,10000,12,4,72
12,5995,20000,23,2,49
12,5990,25000,58,4,150
8,5975,25000,27,5,15
15,5950,10000,35,4,130
15,5929,10000,110,4,313
9,5910,2500,77,1,769
5,5905,15000,58,1,478
2,6031,25000,112,4,1.9k
4,6031,15000,83,4,295
8,6030,10000,69,5,252
18,6006,10000,50,3,274
11,6000,6000,66,7,307
8,6000,10000,78,4,671
6,6000,10000,12,4,72
12,5995,20000,23,2,49
12,5990,25000,58,4,150
8,5975,25000,27,5,15
12,5995,20000,23,2,49
12,5990,25000,58,4,150
8,5975,25000,27,5,15
15,5950,10000,35,4,130
15,5929,10000,110,4,313
9,5910,2500,77,1,769
5,5905,15000,58,1,478
4,5900,20000,22,5,75
9,5895,4000,75,26,429
16,5885,10000,48,11,22
13,5881,4200,192,2,2.1k
12,5870,10000,74,8,443
15,5860,7500,96,1,445
11,5840,35000,37,5,104
0,5822,200000,76,2,679
14,5800,5000,47,5,51
2,5780,10000,92,1,313
5,5755,8000,65,5,230
9,9540,9540,45,3,122
12,5713,35000,79,5,555
19,5700,10000,50,2,521
9,5700,5000,59,1,254
13,5555,25000,66,1,43
3,5554,50000,80,2,514
3,5541,10000,64,5,599
6,5540,22000,26,3,176
1,5518,5000,123,5,295
4,5490,75000,85,4,723
6,5490,27000,40,5,213
15,5490,10000,75,2,9
1,5484,193000,68,4,283
8,5480,25000,57,24,403
3,5541,10000,64,5,599
6,5540,22000,26,3,176
1,5518,5000,123,5,295
4,5490,75000,85,4,723
6,5490,27000,40,5,213
15,5490,10000,75,2,9
1,5484,193000,68,4,283
8,5480,25000,57,24,403
15,5456,60000,35,4,123
9,5500,6000,48,4,415
1,5430,25000,69,21,426
1,5420,30000,58,1,219
4,5410,11256,261,5,52
6,5410,150000,53,4,264
2,5403,20000,58,1,163
2,5401,8000,32,14,129
1,5490,20000,36,4,32
9,5378,30000,46,3,270
18,5375,7500,83,5,907
17,5365,5000,59,2,716
3,5225,20000,20,4,35
1,5220,5000,58,3,71
1,5210,5000,36,5,275
1,5200,100000,69,4,994
1,5200,10000,48,20,332
13,5170,35000,39,3,101
1,5150,7000,31,23,107
3,5147,28000,47,5,352
7,6930,25000,52,4,455
12,5120,75000,63,19,672
9,5231,7500,85,5,476
11,5230,5000,46,2,604
3,5225,20000,20,4,35
1,5220,5000,58,3,71
1,5210,5000,36,5,275
1,5200,100000,69,4,994
1,5200,10000,48,20,332
13,5170,35000,39,3,101
1,5150,7000,31,23,107
3,5147,28000,47,5,352
1,5150,7000,31,23,107
