CaseTotalKPI,Classification,Country,Culture,ObjectName,ObjectNumber
Overall Collection,Ceramics,Iran,,Fragment,40.170.510
Overall Collection,Ceramics,Iran,,Fragment,40.170.593
Overall Collection,Stucco,Iran,,Fragment,48.101.1668
Overall Collection,Ceramics,Iran,,Fragment,48.101.2019
Overall Collection,Ceramics,Iran,,Fragment,48.101.2173
Overall Collection,Ceramics,Iran,,Fragment,48.101.2222
Mid-Point,Metal,Iran,,Handle,40.170.264
Overall Collection,Glass,Egypt,,Bead,17.6.135
Overall Collection,Textiles-Woven-Brocade,Northwestern Iran or Azerbaijan,,Saddle bag,2015.490.11
Overall Collection,Ceramics,Egypt,,Dish fragment,13.190.55
Overall Collection,Textiles-Woven-Brocade,Iran,,Bag,2015.490.10
Overall Collection,Ivories,,French,Plaque,17.190.249
Overall Collection,Glass-Stained,,Western European,Fragment,1977.346.9
Overall Collection,Ivories,,German or French,Casket front,17.190.173c
Overall Collection,Manuscripts and Illuminations,present-day Turkey,Armenian,,SL.4.2016.17.2
Overall Collection,Textiles-Woven,,,Textile sample,08.21.349
Overall Collection,Textiles-Woven,,,Textile sample,08.21.436
Overall Collection,Textiles-Woven,,,Textile sample,08.21.531
Overall Collection,Textiles-Woven,,,Textile sample,08.21.586
Overall Collection,Textiles-Woven,,,Textile sample,08.21.649
Overall Collection,Textiles-Woven,,,Textile sample,08.21.70
Overall Collection,Sculpture,,,Sculpture,1970.127.10
Overall Collection,Textiles-Printed,,,Textile length and samples,1970.206.2a-f
Mid-Point,Metalwork-Brass,,,Tray,1972.177.4
Overall Collection,Textiles-Woven,,,Window blind sample,1973.129.8
Overall Collection,Woodwork,,,Salad plate,1975.135.6
Overall Collection,Drawings,,,Drawing,1976.201.31
Overall Collection,Textiles-Dyed,,,Wall hanging,1976.252.1
Overall Collection,Glass,,,Wine glass,1976.67.50
Overall Collection,Furniture,,,Coffee table,1978.102
Overall Collection,Paintings,,,Painting,1978.269
Overall Collection,Drawings,,,Drawing,1978.458.4
Overall Collection,Paintings,,,Painting,1979.222
Mid-Point,Jewelry,,,Pendant-brooch,1980.372ab
Overall Collection,Textiles-Woven,,,Textile sample,1980.482.7
Overall Collection,Metalwork-Bronze,,,Push plate,1981.298
Overall Collection,Drawings,,,Drawing,1981.488.3
Overall Collection,Paintings,,,Painting,1982.14
Overall Collection,Paintings,,,Painting,1982.26.1
Overall Collection,Glass,,,Glass,1982.499.1-6
Overall Collection,Paintings,,,Painting,1983.123.1
Overall Collection,Paintings,,,Painting,1983.39
Overall Collection,Woodwork-Furniture,,,ƒtagère,1984.32
Overall Collection,Drawings,,,Drawing,1984.433.247
Overall Collection,Lighting,,,Lamp,1984.528
Overall Collection,Textiles-Printed,,,Textile sample,1984.537.54
Overall Collection,Drawings,,,Drawing,1984.545
Overall Collection,Archives,,,Archives,1984.562.156-160
Overall Collection,Furniture,,,Chair,1985.113.4
Overall Collection,Textiles-Woven,,,Drawing,1985.198.121
Overall Collection,Textiles,,,Textile,1985.198.129
Overall Collection,Textiles-Sample Books,,,Notebook with samples,1985.198.47
Overall Collection,Drawings,,,Drawing,1985.198.58
Overall Collection,Drawings,,,Drawing,1986.297.1
Overall Collection,Drawings,,,Drawing,1986.297.13
Overall Collection,Sculpture,,,Sculpture,1986.36
Overall Collection,Drawings,,,Drawing,1987.472.9
Overall Collection,Paintings,,,Painting,1988.194
Overall Collection,Furniture,,,Table,1988.236.1
Overall Collection,Glass,,,Glass,1988.31.27
Overall Collection,Glass,,,Glass,1988.31.56
Overall Collection,Paintings,,,Painting,1988.311
Overall Collection,Paintings,,,Painting,1988.69a-d
Overall Collection,Furniture-Wood,,,Coffee table,1990.272
Overall Collection,Textiles-Printed,,,Textile sample,1990.284.42
Overall Collection,Textiles-Printed,,,Textile sample,1990.284.9
Overall Collection,Ceramics-Pottery,,,Pot,1993.23
Overall Collection,Ceramics-Pottery,,,Vase,1993.237.2
Overall Collection,Paintings,,,Painting,1993.39
Overall Collection,Drawings,,,Drawing,1996.329.2
Overall Collection,Drawings,,,Drawing,1997.422.7
Overall Collection,Prints,,,Print,1998.101.8
Overall Collection,Ceramics-Pottery,,,Vase,22.184.11
Mid-Point,Metalwork-Silver,,,"Kettle, stand and lamp",25.230.2a-e
Overall Collection,Glass,,,Bowl,27.96.10
Mid-Point,Jewelry,,French,Necklace,34.99.4
Overall Collection,Drawings,,,Drawing,40.21
Overall Collection,Drawings,,,Drawing,43.111
Overall Collection,Drawings,,,Drawing,45.33.6
Overall Collection,Textiles-Embroidered,,,Panel,49.85.10
Overall Collection,Textiles-Embroidered,,,Dress panel,49.85.11
Overall Collection,Paintings,,,Painting,53.175
Overall Collection,Drawings,,,Drawing,59.63.22
Overall Collection,Ceramics-Porcelain,,,Sculpture,60.180.4
Overall Collection,Drawings,,,Drawing,61.101.35
Overall Collection,Furniture,,,Settee,61.7.47
Overall Collection,Drawings,,,Drawing,63.190.4
Overall Collection,Ceramics-Pottery,,,Vase,65.151.5
Overall Collection,Drawings,,,Drawing,66.233.6
Overall Collection,Furniture,,,Chair,68.70.10
Overall Collection,Lighting,,,Piano lamp,68.70.17
Overall Collection,Drawings,,,Drawing,2007.249.1
Overall Collection,Glass,,,Plate,1998.537.23
Overall Collection,Prints,,,Print,1999.283a-l
Overall Collection,Sculpture,,,Sculpture,1999.374
Overall Collection,Prints,,,Print,1999.529.39
Overall Collection,Prints,,,Print,1999.529.41
Overall Collection,Prints,,,Print,1999.529.172
Overall Collection,Prints,,,Print,1999.529.179
Overall Collection,Ceramics-Porcelain,,,Cup and saucer,"2001.551.7a,b"
Overall Collection,Prints,,,Print,2000.395
Overall Collection,Drawings,,,Drawing,2000.501
Overall Collection,Drawings,,,Drawing,2000.498
Overall Collection,Woodwork,,,Desk Set,1977.72.1ab_.5
Overall Collection,Prints,,,Print,2003.433.82
Overall Collection,Prints,,,Print,2003.433.113
Overall Collection,Prints,,,Print,2003.433.154
Overall Collection,Drawings,,,Drawing,2007.326.3
Overall Collection,Photographs,,,Photograph,1992.217.37
Mid-Point,Jewelry,,,Neck ring,2017.104.6
Overall Collection,Drawings,,,Drawing,2009.168
Overall Collection,Drawings,,,Drawing,2011.37
Overall Collection,Glass,,,,SL.19.2013.19.12
Overall Collection,Glass,,,,SL.19.2013.7.14
Overall Collection,Glass,,,,SL.19.2013.7.20
Overall Collection,Glass,,,Vase,2014.208.6
Overall Collection,Glass,,,Vase,2014.208.14
Overall Collection,Paintings,,,Painting,1978.22
Overall Collection,Paintings,,,Painting,SL.9.2016.9.3
Overall Collection,Paintings,,,Painting,SL.9.2016.2.2
Overall Collection,Drawings,,,Drawing,2014.548.27
Overall Collection,Paintings,,,Painting,2017.251.4
Overall Collection,Paintings,,,,SL.8.2016.33.1
Overall Collection,Paintings,,,,SL.9.2016.11.1
Overall Collection,Paintings,,,,SL.5.2017.33.1
Overall Collection,Paintings,,,,SL.5.2017.47.1
Mid-Point,Medals and Plaquettes,,,Medals,69.6.2
Overall Collection,Drawings,,,,SL.5.2017.20.8
Overall Collection,Paintings,,,,SL.8.2016.18.1
Overall Collection,Sculpture,,,Sculpture,2016.46
Overall Collection,Sculpture,,,,2016.527a_d
Overall Collection,Photographs,,,,2017.22.31
Overall Collection,Metal-Implements,,,,2016.396.84
Overall Collection,Sculpture,,,Sculpture,SA.183
Overall Collection,Sculpture,,,Sculpture,SA.188
Overall Collection,Sculpture,,,Sculpture,SA.230
Overall Collection,Drawings,,,Drawing,1982.147.39
Overall Collection,Drawings,,,Drawing,1985.452.6
Overall Collection,Drawings,,,Drawing,1987.33
Overall Collection,Ceramics-Porcelain,,,Salad plate,1990.275.2
Overall Collection,Drawings,,,Drawing,45.34.3
Overall Collection,Drawings,,,Drawing,49.70.227
Overall Collection,Drawings,,,Drawing,66.8.2
Overall Collection,Drawings,,,Drawing,67.55.6
Overall Collection,Drawings,,,Drawing,2007.49.58
Overall Collection,Drawings,,,Drawing,2006.32.20
Overall Collection,Paintings,,,,SL.17.2014.1.5
Overall Collection,Drawings,,,,2016.237.33
Overall Collection,Drawings,,,Drawing,2001.205
Overall Collection,Prints,,,Print,2001.29
Overall Collection,Drawings,,,Drawing,1979.292.792
Overall Collection,Drawings,,,Drawing,1979.292.820
Overall Collection,Drawings,,,Drawing,1979.292.829
Overall Collection,Drawings,,,Drawing,1979.292.841
Overall Collection,Drawings,,,Drawing,1979.292.850
Overall Collection,Drawings,,,Drawing,1979.292.890
Overall Collection,Drawings,,,Drawing,1979.292.914
Overall Collection,Prints,,,Print,2002.456.62
Overall Collection,Miscellany,,,Palette,2002.456.127
Overall Collection,Architectural Models,,,Architectural model,2006.223.1
Overall Collection,Drawings,,,Drawing,1979.292.13
Overall Collection,Drawings,,,Drawing,1979.292.260
Overall Collection,Drawings,,,Drawing,1979.292.324
Overall Collection,Drawings,,,Drawing,1979.292.384
Overall Collection,Drawings,,,Drawing,1979.292.448
Overall Collection,Drawings,,,Drawing,1979.292.459
Overall Collection,Drawings,,,Drawing,1979.292.572
Overall Collection,Drawings,,,Drawing,1979.292.584
Overall Collection,Drawings,,,Drawing,1979.292.650
Overall Collection,Drawings,,,Drawing,2012.448.4
Overall Collection,Drawings,,,Drawing,2013.466.2
Overall Collection,Paintings,,,Painting,1997.149.3
Overall Collection,Drawings,,,Drawing,49.70.33
Overall Collection,Prints,,,Print,2000.236
Overall Collection,Prints,,,Print,2002.456.82
Overall Collection,Prints,,,Print,2002.456.89
Overall Collection,Textiles,,,Quilt,2014.548.40
Overall Collection,Drawings,,,Drawing,2007.49.62
Overall Collection,Drawings,,,Drawing,1992.388.38
Overall Collection,Drawings,,,Drawing,1991.265.1
Overall Collection,Prints,,,Print,1995.425.1a-p
Overall Collection,Drawings,,,Drawing,1993.449
Overall Collection,Paintings,,,Painting,2014.40.8
Overall Collection,Paintings,,,Painting,1983.253
Overall Collection,Prints,,,Print,2001.133
Overall Collection,Sculpture,,,Sculpture,58.61
Overall Collection,Paintings,,,Painting,1993.259
Overall Collection,Drawings,,,Drawing,1986.416.25a-l
Overall Collection,Drawings,,,Drawing,1986.416.4
Overall Collection,Textiles-Printed,America,American,Textile sample,43.42.63
Overall Collection,Textiles-Printed,America,American,Textile sample,43.42.159
Overall Collection,Membranophone-Accessories,,,Drum Sticks,"X.346a, b"
Mid-Point,Membranophone-double-headed / cylindrical drum,Japan,Japanese,Taiko,89.4.76
Mid-Point,Chordophone-Lute-plucked-unfretted,India,Indian,Stringed Instrument,89.4.249
Overall Collection,Membranophone-double-headed / cylindrical drum,Ghana or Nigeria,Dagomba or Hausa people?,Ganga?,89.4.1730
Overall Collection,Membranophone-single-headed / goblet drum,Algeria,Algerian,Darabukka,89.4.345
Overall Collection,Aerophone-Blow Hole-end-blown flute (vertical),Syria,Syrian,Nay,89.4.434
Overall Collection,Aerophone-Blow Hole-panpipe,Vanuatu,Pentecost Island,Pachava,89.4.838
Mid-Point,Aerophone-Blow Hole-end-blown flute (vertical),Italy,Sicily,Duct Flute,89.4.872
Overall Collection,Chordophone-Lute-bowed-unfretted,Thailand,Thai,Saw U,"89.4.1569a, b"
Overall Collection,Idiophone-Struck-gong,Myanmar (formerly Burma),Burmese,Gong,89.4.1464
Mid-Point,Idiophone-Shaken-rattle,Congo,Congolese,Rattle,89.4.1504
Contentious,Aerophone-Lip Vibrated-horn,United States,American,FlŸgelhorn in B-flat,89.4.1539
Mid-Point,Idiophone-Struck-bell-without clapper,India,Indian,Temple Bell,89.4.1667
Mid-Point,Aerophone-Blow Hole-vessel flute,Austria,Austrian,Ocarina,89.4.2095
Mid-Point,Idiophone-Shaken-rattle,Brazil?,probably Brazilian,Rain Stick,1986.467.17
Overall Collection,Idiophone-Struck-bell-without clapper,Ivory Coast,Baule people,Bell and Beater,"2000.160.52 a,b"
Overall Collection,Aerophone-Lip Vibrated-horn,Probably Democratic Republic of Congo,possibly Mvuba people,Horn,13.139.3
Overall Collection,Idiophone-Struck-bell-clapper,Egypt,Egyptian,Tabla,89.4.2658
Overall Collection,Chordophone-Lute-plucked-fretted,Russia,Russian,Alto Balalaika,89.4.3359
Mid-Point,Idiophone-Struck,Gabon,Gabonese,Double Bell,2000.620.26
Overall Collection,Aerophone-Blow Hole-side-blown flute (transverse),,,Flute,"1991.349.46a, b"
Overall Collection,Membranophone-double-headed / frame drum,Korea,Korean,Sogo,1981.136
Mid-Point,Membranophone-single-headed / cylindrical drum,Brazil,Brazilian,Cuica,1986.467.83
Overall Collection,Idiophone-Struck-bell-without clapper,Tanzania/Kenya,Maasai,Lion Hunt Bell,1998.521
Mid-Point,Idiophone-Shaken-rattle,Mexico,Mexican,Pottery Rattle,89.4.3465
Mid-Point,Aerophone-Blow Hole-panpipe,Bolivia,Bolivian,Liku (arca),1995.541.12
Mid-Point,Aerophone-Lip Vibrated-trumpet / trombone,Italy,Italian,Horn,89.4.2588
Overall Collection,Chordophone-Models,,European,Violin top,89.4.2997
Overall Collection,Idiophone-Struck-bell,Czech Republic or Slovakia,Czech or Slovak,Bell,2011.529.16
Overall Collection,Idiophone-Struck-bell,United Kingdom,British,Bell,2011.529.74
Mid-Point,Chordophone-Lute-plucked-fretted,China,Chinese,Electric pipa,2017.372
Overall Collection,Aerophone-Whistle Flute-recorder,Afghanistan,Afghan,Tula,2015.620.14
Overall Collection,Idiophone-Shaken-rattle,,Papua New Guinean (Bismarck Arcipelago),Seed Rattle,89.4.1654
Contentious,Aerophone-Whistle Flute-stopped pipe,Canada,Native American (Northwest Coast),Double Whistle,89.4.2599
Mid-Point,Idiophone-Struck-bell-clapper,Belgium,Flemish,Mass Bell,89.4.1591
Contentious,Chordophone-Bowed,United States,American,Vertical Viola,1983.425
Contentious,Membranophone-double-headed / conical drum,United States,American,Snare Drum,"1986.468.1, .2a, b"
Overall Collection,Photographs,,,Photograph,1970.539.33
Overall Collection,Photographs,,,Photograph,1970.539.38
Overall Collection,Photographs,,,Photograph,1970.539.64
Overall Collection,Photographs,,,Photograph,1970.715.15
Overall Collection,Photographs,,,Photograph,1971.584.1
Overall Collection,Photographs,,,Photograph,1972.746.3
Overall Collection,Photographs,,,Photograph,1973.588.41
Overall Collection,Photographs,,,Photograph,1973.594.26
Overall Collection,Photographs,,,Photograph,1973.660.2
Overall Collection,Photographs,,,Photograph,1975.570.45
Overall Collection,Photographs,,,Photograph,1975.601.2.1
Overall Collection,Portfolios,,,Portfolio,1975.648
Overall Collection,Books,,,Photographically illustrated book,1976.504.15
Overall Collection,Photographs,,,Photograph,1976.518.3
Overall Collection,Photographs,,,Photograph,1977.651
Overall Collection,Photographs,,,Photograph,1979.558.2
Overall Collection,Photographs,,,Photograph,1979.567.3
Overall Collection,Photographs,,,Photograph,1981.1188.5
Overall Collection,Books,,,Photographically illustrated book,1981.1229.73
Overall Collection,Photographs,,,Photograph,1981.1237.3
Overall Collection,Photographs,,,Photograph,1982.1065.22
Overall Collection,Photographs,,,Photograph,1982.1065.3
Overall Collection,Photographs,,,Photograph,1982.1162.1
Overall Collection,Photographs,,,Photograph,1983.1191.15
Overall Collection,Collages|Photographs,,,Collage; Photographs,1983.1226
Overall Collection,Photographs,,,Photograph,1984.1012
Overall Collection,Photographs,,,Photograph,1984.1061
Overall Collection,Photographs,,,Photograph,1984.1068.2
Overall Collection,Photographs,,,Photograph,1984.1077
Overall Collection,Photographs,,,Photograph,1984.108
Overall Collection,Photographs,,,Photograph,1984.1122.2
Overall Collection,Photographs,,,Photograph,1984.1162.6
Overall Collection,Photographs,,,Photograph,1984.1194.1
Overall Collection,Photographs,,,Photograph,1984.1206
Overall Collection,Photographs,,,Photograph,1985.1144.34
Overall Collection,Photographs,,,Photograph,1985.1144.51
Overall Collection,Photographs,,,Contact sheet,1985.1144.84
Overall Collection,Portfolios,,,"Portfolio
",1985.1147 / 1986.1096
Overall Collection,Photographs|Prints,,,Photomechanical print,1986.1169.2
Overall Collection,Photographs,,,Photograph,1987.1025
Overall Collection,Photographs,,,Carte-de-visite,1987.1183.25
Overall Collection,Photographs,,,Photograph,1987.1183.8
Overall Collection,Books,,,Photographically illustrated book,1991.1073.106.3
Overall Collection,Photographs,,,Photograph,1992.5116
Overall Collection,Photographs|Prints,,,Photomechanical print,1992.5148.51
Overall Collection,Collages,,,Collage,1992.5153
Overall Collection,Photographs,,,Photograph,1993.325.2
Overall Collection,Photographs,,,Photograph,1993.45.1
Overall Collection,Photographs,,,Photograph,33.43.143
Overall Collection,Photographs,,,Photograph,33.43.156
Overall Collection,Photographs,,,Photograph,33.43.195
Overall Collection,Photographs,,,Photograph,33.43.200
Overall Collection,Photographs,,,Photograph,33.43.212
Overall Collection,Photographs,,,Photograph,33.43.226
Overall Collection,Photographs,,,Photograph,37.14.45
Overall Collection,Photographs,,,Photograph,46.1.122
Overall Collection,Photographs,,,Photograph,46.1.18
Overall Collection,Books,,,Photographically illustrated book,47.30.1
Overall Collection,Prints,,,Poster,52.658
Overall Collection,Photographs|Prints,,,Photomechanical print,54.549.4
Overall Collection,Transparencies,,,Autochrome,55.635.14
Overall Collection,Photographs,,,Photograph,56.578.12
Overall Collection,Photographs,,,Photograph,56.578.3
Overall Collection,Photographs,,,Photograph,57.678.4
Overall Collection,Photographs|Prints,,,Photomechanical print,58.577.6
Overall Collection,Photographs,,,Photograph,59.550.2
Overall Collection,Photographs,,,Photograph,59.571.9
Overall Collection,Photographs,,,Cabinet card,59.576.12
Overall Collection,Photographs,,,Cabinet card,59.576.15
Overall Collection,Photographs,,,Cabinet card,65.639.35
Overall Collection,Photographs,,,Photograph,66.714.4
Overall Collection,Photographs,,,Photograph,68.675.3
Overall Collection,Photographs,,,Photograph,68.707.1
Overall Collection,Photographs,,,Photograph,69.547.11
Overall Collection,Photographs,,,Photograph,69.710.13
Overall Collection,Photographs,,,Photograph,1981.1010.47
Overall Collection,Photographs,,,Photograph,33.43.382
Overall Collection,Photographs,,,Photograph,33.43.283
Overall Collection,Photographs,,,Photograph,1985.1027.19
Overall Collection,Negatives,,,Negative,1994.251.892
Overall Collection,Photographs,,,Polaroid,1994.263.9
Overall Collection,Books,,,Books,1994.265.138
Overall Collection,Books,,,Books,1994.265.165
Overall Collection,Books,,,Books,1994.265.258
Overall Collection,Books,,,Books,1994.265.260
Overall Collection,Books,,,Books,1994.265.317
Overall Collection,Negatives,,,Negative,1994.252.66.1_.12
Overall Collection,Photographs,,,Polaroid,D.1994.262.2409
Overall Collection,Albums|Prints,,,Album,1996.438.1
Overall Collection,Manuscript Materials,,,Manuscript Materials,1994.250.85
Overall Collection,Photographs,,,Photograph,1994.261.14
Overall Collection,Photographs,,,Photograph,1994.261.46
Overall Collection,Photographs,,,Photograph,1994.261.90
Overall Collection,Photographs,,,Photograph,1998.333.1
Overall Collection,Photographs,,,Photograph,2005.100.1278
Overall Collection,Photographs,,,Photograph,33.65.438
Overall Collection,Photographs,,,Photograph,33.65.459
Overall Collection,Photographs,,,Photograph,33.65.498
Overall Collection,Photographs,,,Photograph,33.65.500
Overall Collection,Photographs,,,,PG.Ong.1
Overall Collection,Photographs,,,Photograph,2001.39
Overall Collection,Photographs,,,Photograph,2004.478.3
Overall Collection,Photographs,,,Photograph,2005.100.1141
Overall Collection,Photographs,,,Photograph,2005.100.745
Overall Collection,Photographs,,,Cabinet card,2005.100.1144
Overall Collection,Photographs,,,Photograph,2005.100.817
Overall Collection,Photographs,,,Photograph,2006.406a_g
Overall Collection,Photographs,,,Photograph,2005.100.948.1 (35c)
Overall Collection,Photographs,,,Photograph,2005.100.948.1 (37d)
Overall Collection,Photographs,,,Stereographs,1982.1182.2731_.2734
Overall Collection,Photographs,,,Stereographs,1982.1182.2812_.2813
Overall Collection,Photographs,,,Postcard,2007.460.2
Overall Collection,Photographs,,,Carte-de-visite,67.580.4.74
Overall Collection,Photographs,,,Photograph,2007.525
Overall Collection,Photographs,,,Photograph,2007.469
Overall Collection,Photographs,,,Photograph,2008.471
Overall Collection,Prints,,,Postcard,1994.264.107.705
Overall Collection,Prints,,,Postcard,1994.264.13.2
Overall Collection,Prints,,,Postcard,1994.264.34.26
Overall Collection,Prints,,,Postcard,1994.264.39.82
Overall Collection,Prints,,,Postcard,1994.264.41.65
Overall Collection,Prints,,,Postcard,1994.264.75.7
Overall Collection,Photographs,,,Stereographs,2007.457.698_.777
Overall Collection,Photographs,,,Stereographs,2007.457.918
Overall Collection,Photographs,,,Stereographs,1982.1182.3088
Overall Collection,Photographs,,,Photograph,43.87.4
Overall Collection,Photographs,,,Photograph,2010.187
Overall Collection,Photographs,,,Photograph,2010.551
Overall Collection,Photographs,,,Stereographs,1982.1182.1658_.1805
Overall Collection,Photographs,,,Photograph,SL.17.2012.26.4
Overall Collection,Photographs,,,Photograph,SL.17.2012.39.1
Overall Collection,Photographs,,,,SL.17.2012.27.1
Overall Collection,Books,,,Artist's book,1970.590.6
Overall Collection,Books,,,Book,2012.269
Overall Collection,Photographs,,,Photograph,2013.39.18
Overall Collection,Photographs,,,Photograph,2012.552.33
Overall Collection,Photographs,,,Photograph,2014.288
Overall Collection,Photographs,,,Photograph,2011.550.44
Overall Collection,Photographs,,,Photographs,2014.555.14
Overall Collection,Books|Prints,,,Photographically Illustrated Book,2014.311
Overall Collection,Photographs,,,Photograph,46.160.57
Overall Collection,Photographs,,,Photograph,46.160.128
Overall Collection,Photographs,,,Photograph,2005.100.500.5 (32)
Overall Collection,Photographs,,,Photograph,2005.100.500.2 (12)
Overall Collection,Photographs,,,Photograph,2015.558.3
Overall Collection,Photographs,,,Carte-de-visite,1970.659.170
Overall Collection,Photographs,,,Carte-de-visite,1970.659.224
Overall Collection,Photographs,,,Carte-de-visite,1970.659.300
Overall Collection,Photographs,,,Carte-de-visite,1970.659.433
Overall Collection,Photographs,,,Carte-de-visite,1970.659.806
Overall Collection,Photographs,,,Carte-de-visite,2004.545.103
Overall Collection,Photographs,,,Carte-de-visite,2004.545.183
Overall Collection,Photographs,,,Carte-de-visite,2015.400.215
Overall Collection,Photographs,,,Postcard,2015.400.242
Overall Collection,Photographs,,,Photograph,2015.400.520
Overall Collection,Photographs,,,Photograph,2005.100.658.1 (40)
Overall Collection,Photographs,,,Photograph; Carte-de-visite,2005.100.588.1.42
Overall Collection,Photographs,,,Photograph; Carte-de-visite,2005.100.588.1.100
Overall Collection,Books,,,Book,1978.524
Overall Collection,Photographs,,,Photograph,2005.100.588.2.16
Overall Collection,Photographs,,,Photograph,2005.100.588.2.42
Overall Collection,Photographs,,,Photograph,2005.100.588.2.88
Overall Collection,Photographs,,,Photograph,2005.100.588.2.112
Overall Collection,Photographs,,,Photograph; Carte-de-visite,2005.100.588.3.32
Overall Collection,Photographs,,,Photograph; Carte-de-visite,2005.100.588.3.36
Overall Collection,Photographs,,,Photograph; Carte-de-visite,2005.100.588.3.111
Overall Collection,Photographs,,,Photograph; Carte-de-visite,2005.100.588.3.143
Overall Collection,Books|Prints,,,Artist's Book; Book,2016.78.8.1_.8
Overall Collection,Photographs,,,Album,2005.100.377.1 (50)
Overall Collection,Photographs,,,Photograph,2005.100.377.2 (66)
Overall Collection,Photographs,,,Carte-de-visite,1975.629.8
Overall Collection,Photographs,,,Photograph,2005.100.583 (85b)
Overall Collection,Photographs,,,Photograph,2005.100.583 (133a_f)
Overall Collection,Photographs,,,Photograph,2005.100.504.40
Overall Collection,Ephemera,,,Ephemera,1994.264.110.77
Overall Collection,Negatives,,,Glass plate negative,2013.1145.43
Overall Collection,Photographs,,,Photograph,SL.26.2017.1.1
Overall Collection,Photographs,,,Photograph,SL.26.2017.1.4
Overall Collection,Photographs,,,,"2005.100.1351.1, .2"
Overall Collection,Periodicals,,,Periodicals,IP.230.JFMPL
Overall Collection,Photographs,,,Photograph,2015.343
Overall Collection,Photographs,,,Carte-de-visite; Photocollage; Collage,2017.68.25
Overall Collection,Photographs,,,Carte-de-visite; Photocollage; Collage,2017.68.32
Overall Collection,Photographs,,,Carte-de-visite,62.584
Overall Collection,Photographs,,,Photograph,2018.248
Overall Collection,Photographs,,,Photograph,2017.59
Overall Collection,Photographs,,,Photograph,2017.61
Overall Collection,Photographs,,,Stereograph,63.350.651.155
Overall Collection,Photographs,,,Stereograph,63.350.651.247
Overall Collection,Photographs,,,Stereograph,63.350.651.738
Overall Collection,Photographs,,,Stereograph,63.350.651.831
Overall Collection,Photographs,,,Photograph; Carte-de-Visite,47.46.117
Overall Collection,Books,,,Book,1987.1095
Overall Collection,Photographs|Postcards,,,,2018.369.58
Overall Collection,Photographs|Postcards,,,,2018.369.72
Overall Collection,Photographs|Postcards,,,,2018.369.233
Overall Collection,Photographs|Postcards,,,,2018.369.316
Overall Collection,Photographs,,,Photograph,Singh.039
Overall Collection,Photographs,,,Photograph,2006.526.1
Overall Collection,Photographs,,,Photograph,2002.455.35
Overall Collection,Photographs,,,Photograph,1979.625.21
Overall Collection,Photographs,,,Photograph,1979.625.35
Overall Collection,Photographs,,,Photograph,1979.625.49
Overall Collection,Photographs,,,Photograph,62.684.56
Overall Collection,Photographs,,,Photograph,62.684.68
Overall Collection,Transparencies,,,Autochrome,1982.1183.6
Overall Collection,Photographs,,,Photograph,1983.1158.4
Overall Collection,Photographs,,,Photograph,1987.1100.36
Overall Collection,Books,,,Photographically illustrated book,1992.5062
Overall Collection,Photographs,,,Photograph,33.43.17
Overall Collection,Photographs,,,Photograph,49.55.230
Overall Collection,Photographs,,,Photograph,65.681.16
Overall Collection,Photographs,,,Photograph,67.504.31
Overall Collection,Photographs,,,Photograph,X.695.1
Overall Collection,Photographs,,,Photograph,2005.100.156
Overall Collection,Periodicals,,,Periodical; Photographically illustrated book,53.701.27
Overall Collection,Photographs,,,Photograph,57.519.31
Overall Collection,Photographs,,,Photograph,1987.1100.390
Overall Collection,Photographs,,,Photograph,1995.364
Overall Collection,Photographs,,,Photograph,1992.5005
Overall Collection,Photographs,,,Photograph,48.116.7
Overall Collection,Photographs,,,Photograph,2015.411
Overall Collection,Photographs,,,Photograph,1970.565.20
Overall Collection,Photographs,,,Photograph,1970.565.22
Overall Collection,Photographs,,,Photograph,1970.565.7
Overall Collection,Photographs,,,Photograph,2007.467.3
Overall Collection,Photographs,,,Photograph,2008.664.22
Overall Collection,Photographs,,,Photograph,2009.483.20
Overall Collection,Photographs,,,Photograph,1972.747.16
Overall Collection,Photographs,,,Photograph,1985.1142.3
Overall Collection,Photographs,,,Photograph,2009.144.10
Overall Collection,Photographs,,,Photograph,2009.144.39
Overall Collection,Photographs,,,Photograph,2000.493.1
Overall Collection,Photographs,,,Photograph,2004.247
Overall Collection,Photographs,,,Photographs,2008.106a_s
Overall Collection,Photographs,,,Photograph,2004.542.2
Overall Collection,Photographs,,,Photograph,1979.585.22
Overall Collection,Photographs,,,Photograph,1979.585.39
Overall Collection,Photographs,,,Photograph,1990.1050.1
Overall Collection,Photographs,,,Photograph,1978.668.62
Overall Collection,Photographs,,,Photograph,69.719
Overall Collection,Photographs,,,Photograph,2011.552.4
Overall Collection,Photographs,,,Photograph,1974.602.81
Overall Collection,Photographs,,,Photograph,1974.602.123
Overall Collection,Photographs,,,Photograph,1974.602.186
Overall Collection,Photographs,,,Photograph,2003.364.4
Overall Collection,Photographs,,,Photograph,1981.1112.25
Overall Collection,Photographs,,,Photograph,1971.616.13a_c
Overall Collection,Photographs,,,Photograph,1970.557
Overall Collection,Photographs,,,Photograph,SL.12.2017.1.190
Overall Collection,Photographs,,,Photograph,2019.32
Overall Collection,Photographs,,,Photograph,1971.646.33
Overall Collection,Photographs,,,Photograph,1995.560.4
Overall Collection,Photographs,,,Polaroid,1994.245.10
Overall Collection,Photographs,,,Polaroid,1994.245.109
Overall Collection,Photographs,,,Polaroid,1994.245.95
Overall Collection,Negatives,,,Negative,1994.251.109
