CaseTotalKPI,Classification,Country,Culture,ObjectName,ObjectNumber
Contentious,Ceramics,United States,American,Cup and saucer,"2000.605.9a, b"
Contentious,Drawings,United States,American,Drawing,67.654.101
Contentious,Drawings,United States,American,Drawing,67.654.284
Contentious,Ceramics,United States,American,Bowl,2002.522.1
Contentious,Glass,United States,American,Wineglass,2003.314
Overall Collection,Sculpture,,American,Bust,2003.303
Contentious,Paintings,United States,American,Painting,2004.541.1
Overall Collection,Sculpture,,American,Life mask,2007.185.2
Contentious,Furniture,United States,,Bedstead,2007.475a_i
Contentious,Ceramics,United States,American,Charger,2008.176
Contentious,Drawings,United States,American,Drawing,1987.1047.9
Contentious,Ceramics,United States,American,Vase,2018.294.189
Contentious,Ceramics,United States,American,Vase,2018.294.7
Contentious,Ceramics,United States,American,Vase,2018.294.162
Contentious,Ceramics,United States,American,Bowl,2018.294.185
Contentious,Ceramics,United States,American,Vase,2018.294.145
Overall Collection,Glass,,American,Claret,2008.594.23
Contenders for repatriation,Silver,United States,American,Box,2019.15.1
Contentious,Ceramics,United States,American,Vase,2018.294.174
Contentious,Textiles,United States,American,Weaving,2008.108.1
Contenders for repatriation,Metal,United States,American,Urn,L.2011.8.1
Overall Collection,Paintings,,American,Painting,SL.6.2015.39.1
Overall Collection,Paintings,,American,Painting,SL.6.2015.31.1
Overall Collection,Paintings,,American,Painting,SL.6.2015.21.1
Mid-Point,Textiles,Peru,Peruvian,Shawl,58.66.1
Overall Collection,Drawings,,American,Drawing,SL.5.2015.16.24
Overall Collection,Paintings,,American,Painting,SL.5.2015.19.1
Overall Collection,Shields,,"French, Paris",Shield,04.3.260
Overall Collection,Archery Equipment-Bows,,Japanese,Bow,10.11.16
Overall Collection,Armor for Child,,French or Italian,Composed amor for a youth or small boy,"14.25.719a_j, m_p"
Overall Collection,Armor Parts-Breastplates,,"Italian, possibly Savoy",Breastplate,14.25.814
Overall Collection,Sword Blades,,Japanese,Blade for a straight single-edged sword (Chokut_),14.100.13
Overall Collection,Firearms-Pistols-Percussion,,Japanese,Percussion pistol,14.100.195
Overall Collection,Archery Equipment-Bows,,Japanese,Bow holder,14.100.320
Overall Collection,Equestrian Equipment,,Japanese,Horse trappings,14.100.544
Overall Collection,Miscellaneous,,Japanese,Pepper blower,17.219.2
Overall Collection,Armor Parts-Elbow Plates,,German,Upper arm defense (Rerebrace) and elbow defense (Couter),29.158.56
Overall Collection,Armor Parts-Breastplates,,"North German, possibly Brunswick",Breastplate,27.183.48
Overall Collection,Armor for Man,,"Italian, probably Milan",Composed armor,"29.158.1b_d, g_m"
Overall Collection,Miscellaneous-Buckles & Ornament,,"Western European, possibly British",Ornamental plaque,29.158.735
Mid-Point,Swords,,Chinese,Sword with scabbard mounts,30.65.1
Overall Collection,Archery Equipment-Arrowheads,,Japanese,Arrowhead (Yanon_),32.75.324
Overall Collection,Archery Equipment-Arrowheads,,Japanese,Arrowhead (Yanon_),32.75.458
Overall Collection,Archery Equipment-Arrowheads,,Japanese,Arrowhead (Yanon_),32.75.483
Overall Collection,Archery Equipment-Arrowheads,,Japanese,Arrowhead (Yanon_),32.75.500
Overall Collection,Archery Equipment-Arrowheads,,Japanese,Arrowhead (Yanon_),32.75.554
Overall Collection,Miscellaneous,,Japanese,Standard (Sashimono),36.25.2835
Overall Collection,Miscellaneous,,Japanese,Standard back ornament (Sashimono),36.25.2837
Overall Collection,Armor Parts-Cuirasses,,Japanese,Cuirass,36.25.47
Overall Collection,Helmets,,Japanese,Helmet (hanburi),36.25.172
Overall Collection,Equestrian Equipment-Stirrups,,"East European, possibly Balkans",Stirrups,"36.25.513a, b"
Mid-Point,Daggers,,"South Indian, Mughal",Dagger (Katar),36.25.696
Mid-Point,Swords,,Turkish,Saber,36.25.1298
Mid-Point,Shafted Weapons,,Japanese,Pick (Kama-Yari),36.25.1822
Mid-Point,Shafted Weapons,,Japanese,Spearhead,36.25.2032
Overall Collection,Firearms Accessories-Flasks & Primers,,Japanese,Primer,36.25.2291
Overall Collection,Firearms Accessories-Flasks & Primers,,Japanese,Primer,36.25.2302
Mid-Point,Sword Furniture-Kogai,,Japanese,Set of sword fittings (Mitokoromono),45.24.52a_d
Mid-Point,Sword Furniture-Menuki,,Japanese,Sword-grip ornaments (Menuki),45.24.47a_c
Overall Collection,Miscellaneous,,Japanese,"War hat (jingasa)
",48.75.1
Mid-Point,Shafted Weapons,,Syrian,Ax,69.156
Overall Collection,Firearms-Pistols-Revolvers,,"American, Springfield, Massachusetts and New York",Single-action revolver,2010.482
Mid-Point,Swords,,Italian,Cup-hilted rapier,04.3.14
Mid-Point,Daggers,,French,Ballock knife,04.3.146
Overall Collection,Sword Furniture-Kozuka,,Japanese,Knife handle (Kozuka),43.120.169
Overall Collection,Sword Furniture-Kozuka,,Japanese,Knife handle (Kozuka),43.120.317
Overall Collection,Helmets,,Spanish,Sallet,04.3.239
Overall Collection,Miscellaneous-Badges,,possibly Spanish,Badge or harness pendant,04.3.381
Overall Collection,Miscellaneous,,French,Screw die holder,12.164.3
Overall Collection,Metalwork-Lead,,French,Falconer (Toy figure),12.222.2
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),91.1.809
